nombre_original,nombre_generado,fecha_detectada,proveedor_detectado,numero_detectado,estado
30.01.2025_ROTUSER ROTULACION_25-035.pdf,20250130_HAFESA_OIL_SL_.pdf,20250130,HAFESA_OIL_SL,,OK
30.04.2025_DAMAR SUMINISTROS_1-40407.Pdf,20250430_SUMINISTROS_DE_OFICINA_DAMAR_SL_.pdf,20250430,SUMINISTROS_DE_OFICINA_DAMAR_SL,,OK
30.04.2025_HAFESA ENERGIA_MIN25-12308.pdf,20250430_HAFESA_OIL_MIN25-12308.pdf,20250430,HAFESA_OIL,MIN25/12308,OK
30.04.2025_HAFESA OIL_2025-3A-1475.pdf,20250430_ES_CHURRIANA_o__HAFESA_OIL_SL_.pdf,20250430,ES_CHURRIANA_o__HAFESA_OIL_SL,,OK
30.04.2025_LOOMIS_0404T250296.pdf,20070118_Loomis_Spain_SA_30-04-2025.pdf,20070118,Loomis_Spain_SA,30/04/2025,OK
30.04.2025_MAFAGAS_25FOH00417.PDF,20250430_MAFAGAS_SL_25FOH00417.pdf,20250430,MAFAGAS_SL,25FOH00417,OK
30.04.2025_MAFAGAS_25FOH00418.PDF,20250430_MAFAGAS_SL_25FOH00418.pdf,20250430,MAFAGAS_SL,25FOH00418,OK
30.05.2025_CAPIFER GRANADA_25010150.pdf,,,,,ERROR: No se pudo parsear
31.01.2025_CEPSA_6502932315.PDF,20250131_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250131,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
31.01.2025_DAMAR SUMINISTROS_1-40010.pdf,20250131_SUMINISTROS_DE_OFICINA_DAMAR_SL_.pdf,20250131,SUMINISTROS_DE_OFICINA_DAMAR_SL,,OK
31.01.2025_JULIO Y MARTA_2025-3A-208.pdf,,,,,ERROR: No se pudo parsear
31.01.2025_LOOMIS_0401T250090.pdf,20070118_Loomis_Spain_SA_31-01-2025.pdf,20070118,Loomis_Spain_SA,31/01/2025,OK
31.01.2025_PENALVA ALIMENTACION_FNWK25000250.pdf,20250131_Formato_Lote_PENALVA_ALIMENTACIÓN_SA_202431-12.pdf,20250131,Formato_Lote_PENALVA_ALIMENTACIÓN_SA,202431/12,OK
31.01.2025_PROYECTOS E INSTALACIONES_PR2025000048.pdf,20250131_PRS_Proyectos_e_instalaciones_SL_PR-2025000048.pdf,20250131,PRS_Proyectos_e_instalaciones_SL,PR/2025000048,OK
31.03.2025_CEPSA_6503017491.PDF,20250331_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250331,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
31.03.2025_HATTA ENERGY_2537181.PDF,20250331_HATTA_energy_Hatta_Energy_SL_.pdf,20250331,HATTA_energy_Hatta_Energy_SL,,OK
31.03.2025_JULIO Y MARTA_2025-3A-817.pdf,20250303_JULIO_Y_MARTA_SL_.pdf,20250303,JULIO_Y_MARTA_SL,,OK
31.03.2025_LOOMIS_0403T250200 (2).pdf,20000331_Loomis_Spain_SA_31-03-2025.pdf,20000331,Loomis_Spain_SA,31/03/2025,OK
31.03.2025_LOOMIS_0403T250200.pdf,20070118_Loomis_Spain_SA_31-03-2025.pdf,20070118,Loomis_Spain_SA,31/03/2025,OK
31.03.2025_PENALVA ALIMENTACION_FNWK25000978.pdf,20250331_EY_PENALLVA_A_PENALVA_ALIMENTACIÓN_SA_.pdf,20250331,EY_PENALLVA_A_PENALVA_ALIMENTACIÓN_SA,,OK
31.05.2025_ARBITRADE ANDALUCIA_496.pdf,20250531_VArbitrade_ANDALUCÍA_ARBITRADE_ANDALUCIA_SLU_.pdf,20250531,VArbitrade_ANDALUCÍA_ARBITRADE_ANDALUCIA_SLU,,OK
31.05.2025_JULIO Y MARTA DISTRIB_2025-3A-2023.pdf,,,,,ERROR: No se pudo parsear
31.05.2025_LOOMIS_1805T250598.pdf,20250531_Loomis_Spain_SA_31-05-2025.pdf,20250531,Loomis_Spain_SA,31/05/2025,OK
