nombre_original,nombre_generado,fecha_detectada,proveedor_detectado,numero_detectado,estado
01.03.2025_SECUR_B25-2458.pdf,20250301__B25.pdf,20250301,,B25,OK
01.04.2025_LUBRICANTES DELGADO_A26670.pdf,20250421_TECNOLOGIA_DE_VANGUARDIA_LUBRICANTES_DELGADO_SL_.pdf,20250421,TECNOLOGIA_DE_VANGUARDIA_LUBRICANTES_DELGADO_SL,,OK
02.06.2025_LUBRICANTES DELGADO_A27163.pdf,,,,,ERROR: No se pudo parsear
03.06.2025_SAMOIL TECHS_PS202500132.pdf,20250603_SAMOIL_TECHS_SL_PS-2025-00132.pdf,20250603,SAMOIL_TECHS_SL,PS/2025/00132,OK
08.05.2025_INSTALACIONES ROBERTO MOREN_FE25-12.pdf,20250508_MORENILLA_INSTALACIONES_ROBERTO_MORENILLA_SLU_12.pdf,20250508,MORENILLA_INSTALACIONES_ROBERTO_MORENILLA_SLU,12,OK
09.04.2025_HAFESA ENERGIA_MIN25-9737.pdf,20250409_HAFESA_OIL_MIN25-9737.pdf,20250409,HAFESA_OIL,MIN25/9737,OK
09.05.2025_CARBOSUR 1925_000565.pdf,20250509_OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY_S_s_000565.pdf,20250509,OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY_S_s,000565,OK
09.05.2025_HAFESA ENERGIA_MIN25-13338.pdf,20250509_HAFESA_OIL_MIN25-13338.pdf,20250509,HAFESA_OIL,MIN25/13338,OK
09.05.2025_TECSENS_INV-2025-0812.pdf,20250509_TECHNOLOGY_Activo_Tl_SL_.pdf,20250509,TECHNOLOGY_Activo_Tl_SL,,OK
09.06.2025_Q-SAFETY_QS007322.pdf,20250609_Q-SAFETY_QS-007322_25.pdf,20250609,Q-SAFETY,QS/007322_25,OK
10.02.2025_CEPSA_6502952026.PDF,20250210_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250210,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
10.02.2025_SAMOIL TECHS_A-2025-00231.pdf,20250210_SAMOIL_TECHS_SL_A-2025-00231.pdf,20250210,SAMOIL_TECHS_SL,A/2025/00231,OK
10.03.2025_CEPSA_6502993283.PDF,20250310_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250310,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
10.03.2025_HATTA ENERGY_2528024.PDF,20250310_Hatta_Energy_SL_.pdf,20250310,Hatta_Energy_SL,,OK
10.04.2025_CEPSA_6503047835.pdf,20250410_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250410,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
11.03.2025_CARBOSUR 1925_000271.pdf,20250311_OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY_000271.pdf,20250311,OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY,000271,OK
11.03.2025_CARBOSUR 1925_0002711.pdf,20250311_OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY_000271.pdf,20250311,OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY,000271,OK
12.05.2025_DETUGRA MULTISERVICIOS_1008.pdf,20050512_DETUGRA_MULTISERVICIOS_SLU_.pdf,20050512,DETUGRA_MULTISERVICIOS_SLU,,OK
14.02.2025_INTERCLYM_11.643.pdf,20250420_INTERCLYM_SA_Ejercicio.pdf,20250420,INTERCLYM_SA,Ejercicio,OK
14.05.2025_LUBRICANTES DELGADO_A26987.pdf,,,,,ERROR: No se pudo parsear
15.04.2025_HAFESA ENERGIA_MIN25-10490.pdf,20250415_HAFESA_OIL_MIN25-10490.pdf,20250415,HAFESA_OIL,MIN25/10490,OK
16.04.2025_ALETTEO_2025000093.pdf,20250228_HAFESA_MOBILITY_ELC_SL_2025000093.pdf,20250228,HAFESA_MOBILITY_ELC_SL,2025000093,OK
16.05.2025_HAFESA ENERGIA_MIN25-14322.pdf,20250516_HAFESA_OIL_MIN25-14322.pdf,20250516,HAFESA_OIL,MIN25/14322,OK
18.03.2025_PETRONET_A-02.pdf,20250318__A-02.pdf,20250318,,A-02,OK
19.02.2025_HAFESA ENERGIA_MIN25-4082.pdf,20250219_HAFESA_OIL_MIN25-4082.pdf,20250219,HAFESA_OIL,MIN25/4082,OK
20.02.2025_CEPSA_6502962587.PDF,20250220_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250220,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
20.03.2025_CEPSA_6503003649.PDF,20250320_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250320,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
20.03.2025_HAFESA ENERGIA_MIN25-7337.pdf,20250320_HAFESA_OIL_MIN25-7337.pdf,20250320,HAFESA_OIL,MIN25/7337,OK
20.03.2025_HAFESA ENERGIA_MIN25-7354.pdf,20250320_HAFESA_OIL_MIN25-7354.pdf,20250320,HAFESA_OIL,MIN25/7354,OK
20.04.2025_CEPSA_6503056538.pdf,20250420_EUR_Te_informamos_que_tus_datos_personales_son_tra_.pdf,20250420,EUR_Te_informamos_que_tus_datos_personales_son_tra,,OK
21.05.2025_SAMOIL TECHS_A-2025-00642.pdf,20250506_Í_emrresas_EN_CASO_DE_INCURRIR_EN_EL_IMPAGO_DE_EST_A-2025-00642.pdf,20250506,Í_emrresas_EN_CASO_DE_INCURRIR_EN_EL_IMPAGO_DE_EST,A/2025/00642,OK
24.03.2025_QUIRON PREVENCION_2250146532.pdf,20250324_Quirón_Prevención_SLU_2250146532.pdf,20250324,Quirón_Prevención_SLU,2250146532,OK
24.03.2025_QUIRON PREVENCION_2250163810.pdf,20250324_Quirón_Prevención_SLU_2250163810.pdf,20250324,Quirón_Prevención_SLU,2250163810,OK
24.04.2025_CONWAY_7250216163.pdf,,,,,ERROR: No se pudo parsear
24.04.2025_CONWAY_7250216164.pdf,,,,,ERROR: No se pudo parsear
24.04.2025_CONWAY_7250216165.pdf,20250424_Conway-The_Convenience_Company_SA_.pdf,20250424,Conway-The_Convenience_Company_SA,,OK
24.04.2025_CONWAY_7250216166.pdf,,,,,ERROR: No se pudo parsear
27.02.2025_ROBERTO MORENILLA_1-000031.pdf,20250227_INSTALACIONES_Operación_asegurada_por_ROBERTO_MORE_.pdf,20250227,INSTALACIONES_Operación_asegurada_por_ROBERTO_MORE,,OK
27.02.2025_TALLERES AVENIDA 81_0-3479.pdf,,,,,ERROR: No se pudo parsear
28.01.2025_PROQUIMETAL_25011741.pdf,20250128_FACTURA_ESPAÑOLA_DE_PRODUCTOS_QUÍMICOS_INDUSTRIALE_25011741.pdf,20250128,FACTURA_ESPAÑOLA_DE_PRODUCTOS_QUÍMICOS_INDUSTRIALE,25011741,OK
28.02.2025_ARBITRADE ANDALUCIA_190.pdf,20250228_VArbitrade_ANDALUCÍA_ARBITRADE_ANDALUCIA_SLU_.pdf,20250228,VArbitrade_ANDALUCÍA_ARBITRADE_ANDALUCIA_SLU,,OK
28.02.2025_DAMAR SUMINISTROS_1-40159.Pdf,20250228_DAMAR_SUMINISTROS_DE_OFICINA_DAMAR_SL_.pdf,20250228,DAMAR_SUMINISTROS_DE_OFICINA_DAMAR_SL,,OK
28.02.2025_JULIO Y MARTA_2025-3A-433.pdf,,,,,ERROR: No se pudo parsear
28.02.2025_PENALVA ALIMENTACION_FNWK25000598.pdf,20250228_PENALVA_ALIMENTACIÓN_SA_202530-01.pdf,20250228,PENALVA_ALIMENTACIÓN_SA,202530/01,OK
28.05.2025_HAFESA ENERGIA_MIN25-15713.pdf,20250528_HAFESA_OIL_MIN25-15713.pdf,20250528,HAFESA_OIL,MIN25/15713,OK
29.04.2025_INTERCLYM_14.901.pdf,20250620_INTERCLYM_SA_Ejercicio.pdf,20250620,INTERCLYM_SA,Ejercicio,OK
29.04.2025_JULIO Y MARTA_2025-3A-1290.pdf,,,,,ERROR: No se pudo parsear
30.01.2025_CARBOSUR 1925_000110.pdf,20250130_OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY_000110.pdf,20250130,OPERACIÓN_ASEGURADA_POR_TRANSACTION_COVERED_BY,000110,OK
