nombre_original,nombre_generado,fecha_detectada,proveedor_detectado,numero_detectado,estado
28.02.2025_DAMAR SUMINISTROS_1-40159.Pdf,"20250228_DAMAR_Suministros_1
40159.pdf",20250228,DAMAR_Suministros,"1
40159",OK
28.02.2025_JULIO Y MARTA_2025-3A-433.pdf,20250228_JULIO_Y_MARTA_SL_2025-3A-433.pdf,20250228,JULIO_Y_MARTA_SL,2025/3A/433,OK
28.02.2025_PENALVA ALIMENTACION_FNWK25000598.pdf,20250228_Nordwik_PENALVA_ALIMENTACION_SA_FNWK25000598.pdf,20250228,Nordwik_PENALVA_ALIMENTACION_SA,FNWK25000598,OK
28.05.2025_HAFESA ENERGIA_MIN25-15713.pdf,20250528_HAFESA_MIN25-15713.pdf,20250528,HAFESA,MIN25/15713,OK
29.04.2025_INTERCLYM_14.901.pdf,20250429_interclym_maquinaria_y_útiles_de_limpieza_14.901.pdf,20250429,interclym_maquinaria_y_útiles_de_limpieza,14.901,OK
29.04.2025_JULIO Y MARTA_2025-3A-1290.pdf,20250429_JULIO_Y_MARTA_SL_2025-3A-1290.pdf,20250429,JULIO_Y_MARTA_SL,2025/3A/1290,OK
30.01.2025_CARBOSUR 1925_000110.pdf,20250130_Carbo_Sür_Biomasa_sucesores_de_carbones_San_Antoni_000110.pdf,20250130,Carbo_Sür_Biomasa_sucesores_de_carbones_San_Antoni,000110,OK
30.01.2025_ROTUSER ROTULACION_25-035.pdf,20250130_ROTUSER_ROTULACIÓN_SL_25-035.pdf,20250130,ROTUSER_ROTULACIÓN_SL,25-035,OK
30.04.2025_DAMAR SUMINISTROS_1-40407.Pdf,"20250430_DAMAR_Suministros_1
40407.pdf",20250430,DAMAR_Suministros,"1
40407",OK
30.04.2025_HAFESA ENERGIA_MIN25-12308.pdf,20250430_HAFESA_MIN25-12308.pdf,20250430,HAFESA,MIN25/12308,OK
30.04.2025_HAFESA OIL_2025-3A-1475.pdf,20250430_ES_CHURRIANA_HAFESA_OIL_SL_2025-3A-1475.pdf,20250430,ES_CHURRIANA_HAFESA_OIL_SL,2025/3A/1475,OK
30.04.2025_LOOMIS_0404T250296.pdf,20250430_LOOMIS_0404T250296.pdf,20250430,LOOMIS,0404T250296,OK
30.04.2025_MAFAGAS_25FOH00417.PDF,20250430_HAFESA_OIL_25FOH00417.pdf,20250430,HAFESA_OIL,25FOH00417,OK
30.04.2025_MAFAGAS_25FOH00418.PDF,20250430_HAFESA_OIL_25FOH00418.pdf,20250430,HAFESA_OIL,25FOH00418,OK
30.05.2025_CAPIFER GRANADA_25010150.pdf,20250530_capifer-granada_sL_Distribuciones_2510150.pdf,20250530,capifer-granada_sL_Distribuciones,2510150,OK
31.01.2025_CEPSA_6502932315.PDF,20250131_CEPSA_6502932315.pdf,20250131,CEPSA,6502932315,OK
31.01.2025_DAMAR SUMINISTROS_1-40010.pdf,20250131_DAMAR_Suministros_40010.pdf,20250131,DAMAR_Suministros,40010,OK
31.01.2025_JULIO Y MARTA_2025-3A-208.pdf,20250131_JULIO_Y_MARTA_SL_2025-3A-208.pdf,20250131,JULIO_Y_MARTA_SL,2025/3A/208,OK
31.01.2025_LOOMIS_0401T250090.pdf,20250131_LOOMIS_0401T250090.pdf,20250131,LOOMIS,0401T250090,OK
31.01.2025_PENALVA ALIMENTACION_FNWK25000250.pdf,20250131_Nordwik_IBENSE_PENALVA_ALIMENTACION_SA_FNWK25000250.pdf,20250131,Nordwik_IBENSE_PENALVA_ALIMENTACION_SA,FNWK25000250,OK
31.01.2025_PROYECTOS E INSTALACIONES_PR2025000048.pdf,20250131_PRS_PROYECTOS_E_INSTALACIONES_SL_PR-2025000048.pdf,20250131,PRS_PROYECTOS_E_INSTALACIONES_SL,PR/2025000048,OK
31.03.2025_CEPSA_6503017491.PDF,20250331_CEPSA_6503017491.pdf,20250331,CEPSA,6503017491,OK
31.03.2025_HATTA ENERGY_2537181.PDF,20250331_HATTA_energy_2537181.pdf,20250331,HATTA_energy,2537181,OK
31.03.2025_JULIO Y MARTA_2025-3A-817.pdf,20250331_JULIO_Y_MARTA_SL_2025-3A-817.pdf,20250331,JULIO_Y_MARTA_SL,2025/3A/817,OK
31.03.2025_LOOMIS_0403T250200 (2).pdf,20250331_LOOMIS_0403T250200.pdf,20250331,LOOMIS,0403T250200,OK
31.03.2025_LOOMIS_0403T250200.pdf,20250331_LOOMIS_0403T250200.pdf,20250331,LOOMIS,0403T250200,OK
31.03.2025_PENALVA ALIMENTACION_FNWK25000978.pdf,20250331_ANTONIO_AYALA_FNWK25000978.pdf,20250331,ANTONIO_AYALA,FNWK25000978,OK
31.05.2025_ARBITRADE ANDALUCIA_496.pdf,20250531_Arbitrade_ANDALUCÍA_496.pdf,20250531,Arbitrade_ANDALUCÍA,496,OK
31.05.2025_JULIO Y MARTA DISTRIB_2025-3A-2023.pdf,20250531_JULIO_Y_MARTA_SL_2025-3A-2023.pdf,20250531,JULIO_Y_MARTA_SL,2025/3A/2023,OK
31.05.2025_LOOMIS_1805T250598.pdf,20250531_LOOMIS_1805T250598.pdf,20250531,LOOMIS,1805T250598,OK
